City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Marsh Harbour,BS,81.28,clear sky,26.54,-77.06,Abaco Beach Resort
2,Sagua La Grande,CU,87.8,broken clouds,22.81,-80.08,Hotel Amaro
8,Key Largo,US,84.0,light rain,25.09,-80.45,Bayside Inn Key Largo
11,Kankan,GN,80.11,scattered clouds,10.39,-9.31,Hotel Bate
13,Hambantota,LK,78.8,overcast clouds,6.12,81.12,Bungalow 63
16,Gurupi,BR,88.84,moderate rain,-11.73,-49.07,Via Norte Hotel
18,Marabba,SD,88.61,broken clouds,12.35,32.18,
21,Kalmunai,LK,81.03,broken clouds,7.42,81.82,VS Villa
24,Neuquen,AR,89.6,clear sky,-38.95,-68.06,Hotel del Comahue
26,Wattegama,LK,80.6,overcast clouds,6.8,81.48,
31,Kudahuvadhoo,MV,82.8,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
33,Gamba,GA,76.01,overcast clouds,-2.65,10.0,
35,Buchanan,LR,78.64,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
39,Hithadhoo,MV,83.39,light rain,-0.6,73.08,Scoop Guest House
45,Moissala,TD,79.3,clear sky,8.34,17.77,
46,Atar,MR,86.77,overcast clouds,20.52,-13.05,Oumou Elghoura
48,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
49,Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
60,Punto Fijo,VE,86.88,scattered clouds,11.7,-70.2,Santa Fe Inn Hotel
63,Gombe,NG,81.14,broken clouds,10.29,11.17,Custodian Hotel Gombe
66,Santa Rosa,PH,77.0,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
68,Aden,YE,82.35,clear sky,12.78,45.04,Sama Emirate Hotel
78,Bengkulu,ID,75.16,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
81,Sao Filipe,CV,79.75,clear sky,14.9,-24.5,Tortuga B&B
93,Muisne,EC,82.4,scattered clouds,0.6,-80.03,Quinta Samay
94,Viedma,AR,86.0,clear sky,-40.81,-63.0,Hotel Cristal
97,Kavaratti,IN,82.06,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
98,Itarema,BR,84.51,clear sky,-2.92,-39.92,Windvillage
99,Praia,CV,80.6,scattered clouds,14.92,-23.51,LT Aparthotel
100,El Carmen De Bolivar,CO,82.83,light rain,9.72,-75.12,Kiko'S Hospedaje
101,Maragogi,BR,80.1,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
102,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
104,Bandarbeyla,SO,77.54,clear sky,9.49,50.81,REER XOOSHLE GROUP
110,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
111,Acajutla,SV,87.8,few clouds,13.59,-89.83,Stop.
115,Yacuiba,BO,85.35,clear sky,-22.04,-63.68,Hotel Monumental
126,Pucallpa,PE,87.8,scattered clouds,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
127,Daule,EC,87.8,scattered clouds,-1.86,-79.98,Hospedaje viajero
128,Coihaique,CL,78.8,clear sky,-45.58,-72.07,Diego De Almagro Coyhaique
131,Los Llanos De Aridane,ES,78.8,clear sky,28.66,-17.92,Valle Aridane
142,Taoudenni,ML,85.01,overcast clouds,22.68,-3.98,
149,Butterworth,MY,80.01,few clouds,5.4,100.36,Cititel Penang
150,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
153,Comodoro Rivadavia,AR,78.8,clear sky,-45.87,-67.5,Austral Hotel
154,Santa Lucia,ES,75.99,clear sky,27.91,-15.54,Hotel Viverde Las Tirajanas
156,Adrar,MR,83.66,overcast clouds,20.5,-10.07,
160,Kattivakkam,IN,80.6,mist,13.22,80.32,St. Joseph Thirumana mandapam
162,Xuddur,SO,75.04,moderate rain,4.12,43.89,Banjanay Hotel
164,Muli,MV,82.83,overcast clouds,2.92,73.57,Medhufushi Island Resort
170,Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
179,Odienne,CI,78.49,clear sky,9.51,-7.57,Oustaz Vame DIAKITE
182,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
186,Ponta Pora,BR,84.2,scattered clouds,-22.54,-55.73,Hotel Pousada do Bosque
192,Padang,ID,78.69,overcast clouds,-0.95,100.35,Mercure Padang
193,Nouadhibou,MR,80.6,sand,20.93,-17.03,El Medina
198,Nicoya,CR,84.2,broken clouds,10.15,-85.45,Guayacan Real
206,Mogadishu,SO,80.04,light rain,2.04,45.34,Hotel Juba
207,Port Blair,IN,80.4,overcast clouds,11.67,92.75,Fortune Resort Bay Island
208,Bubaque,GW,84.06,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
212,Cururupu,BR,87.78,clear sky,-1.83,-44.87,Pousada Través'cia
216,Zambezi,ZM,76.64,scattered clouds,-13.54,23.1,Royal Kutachika Lodge
217,Sompeta,IN,79.2,clear sky,18.93,84.6,V.B.R A/C Lodge And Function Hall
222,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
225,Umm Lajj,SA,80.46,overcast clouds,25.02,37.27,Moon light Furnished Units
226,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
227,Icatu,BR,87.8,scattered clouds,-2.78,-44.07,Hotel Guaxenduba
229,Santa Maria,BR,75.2,broken clouds,-29.68,-53.81,Hotel Morotin
233,Jaciara,BR,86.95,clear sky,-15.97,-54.97,Taba Hotel
235,Sinnamary,GF,85.23,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
237,Vallenar,CL,82.9,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
243,Mahibadhoo,MV,82.38,overcast clouds,3.78,72.97,Omadhoo Inn
244,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
250,Kolokani,ML,83.21,broken clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
251,Georgetown,MY,80.01,few clouds,5.41,100.34,Cititel Penang
254,Mana,GF,85.8,overcast clouds,5.66,-53.78,LE SAMANA
255,Okitipupa,NG,76.01,overcast clouds,6.5,4.78,Coastal Hotel & Suites
265,Barinas,VE,78.19,overcast clouds,8.62,-70.21,Hotel Suites Mastranto
275,Tucuman,AR,87.8,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
280,Bandar-E Lengeh,IR,77.0,clear sky,26.56,54.88,کافی نت پارس
284,Pitimbu,BR,82.4,scattered clouds,-7.47,-34.81,Reserva do Abiaí
286,La Asuncion,VE,89.6,light rain,11.03,-63.86,Colinas de Matasiete
290,Soyo,AO,78.6,overcast clouds,-6.13,12.37,Hotel Mpampa
297,San Rafael,AR,85.42,clear sky,-34.62,-68.33,Hotel San Rafael
299,Hobyo,SO,81.07,clear sky,5.35,48.53,Osmani Hotel
301,Puri,IN,80.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
305,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
308,Anloga,GH,82.4,scattered clouds,5.79,0.9,Pin Drop Hotel
309,Lamu,KE,78.8,few clouds,-2.27,40.9,Lamu House
314,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
315,Saint-Georges,GD,77.0,light rain,12.06,-61.75,Siesta Hotel
329,Meulaboh,ID,76.66,light rain,4.14,96.13,Kost Pria
330,Bangolo,CI,77.99,clear sky,7.01,-7.47,Résidence hôtel yekoula
332,Bathsheba,BB,84.2,broken clouds,13.22,-59.52,Atlantis Hotel
333,Calabozo,VE,84.7,light rain,8.92,-67.43,Hotel Giardini
336,Talcher,IN,75.13,broken clouds,20.95,85.22,Hotel Green Park
338,Carutapera,BR,85.44,clear sky,-1.2,-46.02,Lidera
340,Juba,SS,79.2,broken clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
343,Camopi,GF,89.83,moderate rain,3.17,-52.32,
346,Destin,US,78.8,clear sky,30.39,-86.5,Inn On Destin Harbor
352,Dwarka,IN,82.08,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
358,Siuna,NI,82.47,light rain,13.73,-84.78,Hotel Kaoba
359,Rawson,AR,88.03,clear sky,-43.3,-65.1,Hotel Punta León
361,Luis Correia,BR,84.87,scattered clouds,-2.88,-41.67,Hotel Amarração
362,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
363,Jardim,BR,84.36,scattered clouds,-21.48,-56.14,Hotel Estância
364,Brandon,US,88.0,broken clouds,27.94,-82.29,Embassy Suites by Hilton Tampa Brandon - OPEN
365,Bokoro,TD,87.35,clear sky,12.38,17.06,
367,Fomboni,KM,78.24,overcast clouds,-12.28,43.74,Auberge les abou
368,Mombasa,KE,78.8,scattered clouds,-4.05,39.66,New Palm Tree Hotel
370,Buritis,BR,82.13,moderate rain,-15.62,-46.42,Hotel Rainha do Vale
375,Moroni,KM,76.48,overcast clouds,-11.7,43.26,Hotel les Arcades
381,Oussouye,SN,86.0,clear sky,12.48,-16.55,Auberge du Routard
385,Mbini,GQ,75.2,broken clouds,1.57,9.61,
387,Tabou,CI,78.42,broken clouds,4.42,-7.35,hotêl doufoulougou
389,Baghdad,IQ,77.0,clear sky,33.34,44.4,Baghdad Hotel
392,Bonthe,SL,80.33,clear sky,7.53,-12.51,Bonthe Holiday Village
396,Puerto Narino,CO,86.0,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
399,Goundam,ML,89.2,clear sky,16.41,-3.67,
401,Biltine,TD,82.67,few clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
406,Quelimane,MZ,75.2,few clouds,-17.88,36.89,Hotel Flamingo
407,Cabo Rojo,PR,88.0,overcast clouds,18.09,-67.15,Hotel Perichi's
408,Mayumba,GA,75.16,light rain,-3.43,10.66,LIKWALE LODGE
409,Dakar,SN,82.4,clear sky,14.69,-17.44,Novotel Dakar
411,Salvador,SV,89.6,few clouds,13.83,-88.92,Chico's Ranch
413,Sokolo,ML,86.81,clear sky,14.73,-6.12,
414,Marawi,PH,75.99,moderate rain,8.0,124.29,Derogongan Residence
416,Nkhotakota,MW,77.09,light rain,-12.93,34.3,Sitima Inn
417,Santa Isabel Do Rio Negro,BR,80.6,broken clouds,-0.41,-65.02,Hotel GSA
418,Nampula,MZ,75.2,scattered clouds,-15.12,39.27,Tacab Residencial
419,Bombay,IN,82.4,smoke,19.01,72.85,Four Seasons Hotel Mumbai
420,Tandalti,SD,88.41,scattered clouds,13.02,31.87,منزل : الهادي محمد مساعد
423,Filingue,NE,88.43,clear sky,14.35,3.32,
424,Pindiga,NG,79.48,clear sky,9.98,10.93,Accommodation Center
426,Puerto Leguizamo,CO,79.66,light rain,-0.19,-74.78,la casona de juancho
427,Tessalit,ML,81.18,overcast clouds,20.2,1.01,
428,Alta Floresta,BR,77.83,moderate rain,-9.88,-56.09,Floresta Amazonica Hotel
431,Robertsport,LR,80.28,scattered clouds,6.75,-11.37,Kwepunha Retreat
432,Pascagoula,US,77.0,clear sky,30.37,-88.56,Regency Inn
433,Duverge,DO,87.8,scattered clouds,18.38,-71.52,Hotel Argentina
434,Vilhena,BR,87.8,scattered clouds,-12.74,-60.15,Hotel Mirage
438,Gualeguaychu,AR,75.0,clear sky,-33.01,-58.52,Hotel Los Angeles
439,Tutoia,BR,83.79,few clouds,-2.76,-42.27,Pousada Guará's
441,Hurghada,EG,77.0,scattered clouds,27.26,33.81,Sea Star Beau Rivage Hotel
442,Natal,BR,84.2,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
445,Kita,ML,82.62,clear sky,13.03,-9.49,Hôtel Nelson Mandela
446,Talara,PE,77.0,clear sky,-4.58,-81.27,Hostal Oro Negro
448,Monrovia,LR,79.83,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
453,Port Antonio,JM,84.2,shower rain,18.18,-76.46,Trident Hotel
454,Guiratinga,BR,82.2,light rain,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
456,Birao,CF,80.35,clear sky,10.28,22.79,
457,Asyut,EG,75.2,clear sky,27.18,31.18,Florence Hotel Assiut
458,Bahia De Caraquez,EC,82.4,scattered clouds,-0.6,-80.42,La Piedra Hotel
460,Kidal,ML,80.67,few clouds,18.44,1.41,
464,Isabela,PH,77.0,broken clouds,6.71,121.97,Isawad Resort
465,Pauini,BR,89.24,overcast clouds,-7.71,-66.98,Casa do Kiwliks
467,Ichchapuram,IN,78.37,clear sky,19.12,84.7,Satsang Kendra Kagar
469,Arlit,NE,80.22,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
472,Itaituba,BR,82.4,moderate rain,-4.28,-55.98,Hotel Campos
475,San Juan,AR,88.75,clear sky,-31.54,-68.54,Hotel Provincial
476,Parana,AR,82.0,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
479,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
481,Binga,ZW,79.45,clear sky,-17.62,27.34,Lakeview Inn Binga
482,Panaba,MX,77.47,overcast clouds,21.28,-88.27,Hotel Amor
484,Sao Jose Da Coroa Grande,BR,80.33,broken clouds,-8.9,-35.15,Crôa Mares Hotel
485,Riohacha,CO,85.06,light rain,11.54,-72.91,Hotel Taroa
488,Tera,NE,88.39,clear sky,14.01,0.75,Hotel Daressalam Téra
495,Guaimaca,HN,78.8,broken clouds,14.53,-86.82,HOTEL SIERRA
502,Omboue,GA,75.16,overcast clouds,-1.57,9.26,Hotel Olako
503,Cabedelo,BR,82.4,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
507,Dhidhdhoo,MV,82.74,few clouds,6.88,73.1,Dhidhoo beach
508,Uruacu,BR,81.23,scattered clouds,-14.52,-49.14,Super Pesca iscas vivas
516,Gweta,BW,82.65,clear sky,-20.18,25.23,Gweta Lodge
517,Boa Vista,BR,82.4,shower rain,2.82,-60.67,Aipana Plaza Hotel
519,Sao Luis,BR,87.8,broken clouds,-2.53,-44.3,Green Hotel
523,Trincomalee,LK,81.61,scattered clouds,8.57,81.23,Welcombe Hotel
527,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
528,Villarrica,PY,85.3,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
530,George Town,MY,80.01,few clouds,5.41,100.34,Cititel Penang
533,Rosario,AR,82.99,clear sky,-32.95,-60.64,Holiday Inn Rosario
536,Matara,LK,77.38,clear sky,5.95,80.54,Amaloh Boutique Resort
541,Mitsamiouli,KM,77.5,overcast clouds,-11.38,43.28,Foyer ADM
544,Wamba,NG,77.27,few clouds,8.93,8.6,Roma Zee Guest House Annex
546,Bebedouro,BR,78.33,clear sky,-20.95,-48.48,Hotel Real Garden
548,Presidencia Roque Saenz Pena,AR,86.0,clear sky,-26.79,-60.44,Hotel Aconcagua
549,Seminole,US,82.99,light rain,28.71,-81.21,Ono Hot Dog Cart and Catering
555,Paramirim,BR,81.12,clear sky,-13.44,-42.24,Pousada Rio Pequeno
560,Keita,NE,86.0,clear sky,14.76,5.77,
561,Diapaga,BF,84.78,clear sky,12.07,1.79,
565,Douentza,ML,84.51,clear sky,15.0,-2.95,Ogomono Doumbo
567,Manga,BF,84.2,clear sky,11.66,-1.07,Auberge Somkieta
570,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
574,Baharampur,IN,78.26,few clouds,24.1,88.25,The Sugarr & Spice Roopkatha
583,Necocli,CO,87.64,overcast clouds,8.42,-76.79,Hotel Boutique El Turista
590,Bougouni,ML,83.23,scattered clouds,11.42,-7.48,Non Stop
594,Aswan,EG,75.31,clear sky,24.09,32.91,Nuba Nile
595,Libertador General San Martin,AR,90.0,clear sky,-23.81,-64.79,Posada del Sol
596,Bahia Honda,CU,82.0,light rain,22.9,-83.16,Casa Gualberto - Deysi
597,Malakal,SS,77.7,light rain,9.53,31.66,Nile Palace Hotel
603,Diffa,NE,82.53,overcast clouds,13.32,12.61,ProDAF/Diffa
607,Bushehr,IR,75.2,clear sky,28.97,50.84,Yas Hotel
609,Corn Island,NI,80.02,moderate rain,12.17,-83.04,Big Fish Guest House
610,La Palma,US,81.0,scattered clouds,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
616,Rio Bueno,CL,75.2,clear sky,-40.32,-72.97,Hostal Caulle
618,Conakry,GN,84.2,scattered clouds,9.54,-13.68,Riviera Royal Hotel
628,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
641,Clearwater,US,84.99,overcast clouds,27.97,-82.8,Shephard's Beach Resort
649,Campo Verde,BR,82.4,scattered clouds,-20.42,-54.07,
650,Guayaramerin,BO,87.8,scattered clouds,-10.84,-65.36,Hostal FÜNF
652,Limon,CR,87.8,broken clouds,10.0,-83.03,Hotel Playa Bonita
653,Soure,BR,85.82,clear sky,-0.72,-48.52,Hotel Marajó
654,Mvomero,TZ,77.0,few clouds,-6.25,38.67,Kisampa Bush Retreat
658,Loiza,PR,87.8,haze,18.43,-65.88,Malibu Beachfront
661,Diu,IN,78.26,clear sky,20.71,70.98,Hotel Relax Inn
665,Yanam,IN,76.62,clear sky,16.73,82.22,The Regency Hotel
667,Tamale,GH,86.04,clear sky,9.4,-0.84,Tap Hotel
680,Puerto Guzman,CO,79.27,light rain,0.97,-76.59,Hotel Campo Verde
683,Lagos,NG,78.3,light rain,6.58,3.75,
688,Sao Miguel Do Araguaia,BR,85.86,light rain,-13.28,-50.16,Hotel Executivo Palace
698,Morant Bay,JM,84.2,shower rain,17.88,-76.41,Whispering Bamboo Cove Resort
700,Vicuna,CL,81.0,clear sky,-30.03,-70.71,Los Mosaicos
701,Rey Bouba,CM,81.75,broken clouds,8.67,14.18,
704,San Luis,AR,82.38,clear sky,-33.3,-66.34,Huarpes Hotel
710,Salinas,US,81.0,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
715,Gayeri,BF,86.22,clear sky,12.65,0.49,
717,Abonnema,NG,77.0,thunderstorm,4.71,6.79,Corper's Lodge Obonoma
718,Eyl,SO,80.35,clear sky,7.98,49.82,Amiin Hotel
