City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.53,20.04,64.4,88,9,8.05,clear sky
1,Marsh Harbour,BS,26.54,-77.06,81.28,79,10,11.39,clear sky
2,Sagua La Grande,CU,22.81,-80.08,87.8,66,75,13.87,broken clouds
3,Nanortalik,GL,60.14,-45.24,29.64,87,0,26.78,clear sky
4,Ushuaia,AR,-54.8,-68.3,57.2,58,75,11.41,light rain
5,Albany,US,42.6,-73.97,48.99,79,100,1.99,light rain
6,East London,ZA,-33.02,27.91,62.6,88,75,11.41,broken clouds
7,Dikson,RU,73.51,80.55,20.05,98,96,8.95,overcast clouds
8,Key Largo,US,25.09,-80.45,84.0,1,52,10.0,light rain
9,Clinton,US,42.59,-82.92,37.99,64,75,19.46,broken clouds
10,Abu Samrah,SY,35.3,37.18,63.21,68,38,4.36,scattered clouds
11,Kankan,GN,10.39,-9.31,80.11,44,29,3.78,scattered clouds
12,Richards Bay,ZA,-28.78,32.04,64.98,83,100,5.44,overcast clouds
13,Hambantota,LK,6.12,81.12,78.8,100,90,1.12,overcast clouds
14,Gobabis,NA,-22.45,18.97,84.11,19,92,6.4,overcast clouds
15,Pangnirtung,CA,66.15,-65.71,17.6,67,75,3.33,shower rain
16,Gurupi,BR,-11.73,-49.07,88.84,51,27,5.95,moderate rain
17,Lagoa,PT,39.05,-27.98,65.16,76,100,16.64,light rain
18,Marabba,SD,12.35,32.18,88.61,36,70,6.15,broken clouds
19,Hargeysa,SO,9.56,44.06,64.99,70,0,12.06,clear sky
20,Iqaluit,CA,63.75,-68.51,10.4,78,40,4.7,scattered clouds
21,Kalmunai,LK,7.42,81.82,81.03,74,54,5.64,broken clouds
22,Codrington,AU,-38.27,141.97,48.0,82,56,8.12,broken clouds
23,Qaanaaq,GL,77.48,-69.36,0.99,74,0,7.54,clear sky
24,Neuquen,AR,-38.95,-68.06,89.6,18,0,5.82,clear sky
25,Torbay,CA,47.67,-52.73,42.01,60,75,19.46,broken clouds
26,Wattegama,LK,6.8,81.48,80.6,94,90,3.36,overcast clouds
27,Mahebourg,MU,-20.41,57.7,69.8,64,20,9.17,few clouds
28,Povenets,RU,62.85,34.83,33.57,88,0,7.38,clear sky
29,Carnarvon,AU,-24.87,113.63,68.0,68,75,17.22,broken clouds
30,Larsnes,NO,62.2,5.58,51.8,62,75,32.21,light rain
31,Kudahuvadhoo,MV,2.67,72.89,82.8,73,100,6.31,overcast clouds
32,Mar Del Plata,AR,-38.0,-57.56,66.2,59,0,9.17,clear sky
33,Gamba,GA,-2.65,10.0,76.01,90,100,3.76,overcast clouds
34,La Rioja,ES,42.25,-2.5,63.0,82,0,1.12,clear sky
35,Buchanan,LR,5.88,-10.05,78.64,87,71,7.78,broken clouds
36,Nushki,PK,29.55,66.02,46.54,53,0,1.21,clear sky
37,Brazzaville,CG,-4.27,15.28,73.4,88,75,5.1,thunderstorm with light rain
38,Port Alfred,ZA,-33.59,26.89,66.9,78,84,22.28,broken clouds
39,Hithadhoo,MV,-0.6,73.08,83.39,73,100,11.21,light rain
40,Saint-Augustin,CA,51.23,-58.65,38.32,73,100,22.55,overcast clouds
41,Mwinilunga,ZM,-11.74,24.43,69.35,35,8,2.19,clear sky
42,Impfondo,CG,1.64,18.07,71.02,98,100,2.98,moderate rain
43,Busselton,AU,-33.65,115.33,52.0,95,88,6.85,overcast clouds
44,Hermanus,ZA,-34.42,19.23,64.0,79,0,5.01,clear sky
45,Moissala,TD,8.34,17.77,79.3,61,0,4.32,clear sky
46,Atar,MR,20.52,-13.05,86.77,14,100,9.46,overcast clouds
47,Saldanha,ZA,-33.01,17.94,69.8,52,0,8.05,clear sky
48,Porto Novo,BJ,6.5,2.6,82.4,78,40,11.41,scattered clouds
49,Olinda,BR,-8.01,-34.86,82.4,69,40,10.29,scattered clouds
50,Moche,PE,-8.17,-79.01,64.4,77,75,9.17,mist
51,Narsaq,GL,60.92,-46.05,26.6,68,0,4.7,clear sky
52,Beni,CD,0.5,29.47,64.15,100,100,1.63,moderate rain
53,Cidreira,BR,-30.18,-50.21,66.45,62,21,9.48,few clouds
54,Atasu,KZ,48.68,71.64,39.29,58,100,4.36,overcast clouds
55,Tatishchevo,RU,51.67,45.6,44.01,82,63,4.0,broken clouds
56,Ilulissat,GL,69.22,-51.1,19.4,62,100,9.17,overcast clouds
57,De Aar,ZA,-30.65,24.01,71.69,23,0,12.1,clear sky
58,Lucapa,AO,-8.42,20.74,70.36,81,99,2.66,overcast clouds
59,Frantiskovy Lazne,CZ,50.12,12.35,53.01,98,100,1.99,light rain
60,Punto Fijo,VE,11.7,-70.2,86.88,62,50,2.66,scattered clouds
61,Ribeira Grande,PT,38.52,-28.7,64.4,82,75,14.99,broken clouds
62,Ostrovnoy,RU,68.05,39.51,37.38,89,100,16.2,overcast clouds
63,Gombe,NG,10.29,11.17,81.14,28,62,6.17,broken clouds
64,Chicama,PE,-7.84,-79.15,64.4,77,75,9.17,mist
65,Kokomo,US,40.49,-86.13,37.99,47,90,27.51,overcast clouds
66,Santa Rosa,PH,14.31,121.11,77.0,94,90,3.36,overcast clouds
67,Phalodi,IN,27.13,72.37,72.84,18,0,3.62,clear sky
68,Aden,YE,12.78,45.04,82.35,61,0,16.8,clear sky
69,Leh,IN,34.17,77.58,31.05,66,29,3.33,scattered clouds
70,Taltal,CL,-25.4,-70.48,65.41,56,24,9.08,few clouds
71,Cascais,PT,38.7,-9.42,64.99,88,40,3.36,light rain
72,Tazovskiy,RU,67.47,78.7,22.59,98,98,16.4,overcast clouds
73,Clyde River,CA,70.47,-68.59,14.0,78,90,4.7,overcast clouds
74,Shuyskoye,RU,59.37,41.03,28.74,97,0,2.84,clear sky
75,Lavumisa,SZ,-27.31,31.89,63.9,79,100,4.47,light rain
76,Halberstadt,DE,51.9,11.05,62.01,86,100,5.99,overcast clouds
77,Rocha,UY,-34.48,-54.33,64.89,53,0,8.97,clear sky
78,Bengkulu,ID,-3.8,102.27,75.16,88,100,4.9,overcast clouds
79,Ponta Do Sol,PT,32.67,-17.1,69.8,83,20,5.82,few clouds
80,Saint-Philippe,RE,-21.36,55.77,68.0,68,75,5.82,broken clouds
81,Sao Filipe,CV,14.9,-24.5,79.75,73,0,10.63,clear sky
82,Geraldton,AU,-28.77,114.6,57.2,93,75,10.29,light intensity shower rain
83,Montepuez,MZ,-13.13,39.0,73.06,65,2,6.08,clear sky
84,Margate,GB,51.38,1.39,62.01,95,100,8.01,light rain
85,Monforte De Lemos,ES,42.52,-7.51,57.0,93,100,1.01,overcast clouds
86,Pontes E Lacerda,BR,-15.23,-59.34,92.73,31,0,5.86,clear sky
87,Ust-Koksa,RU,50.27,85.61,25.18,85,0,0.92,clear sky
88,Chuy,UY,-33.7,-53.46,64.81,48,0,10.18,clear sky
89,Mehamn,NO,71.04,27.85,37.4,86,0,18.34,clear sky
90,Antofagasta,CL,-23.65,-70.4,62.6,67,20,16.11,few clouds
91,Bilma,NE,18.69,12.92,74.19,22,0,6.44,clear sky
92,Husainabad,IN,24.53,84.02,70.36,47,0,3.22,clear sky
93,Muisne,EC,0.6,-80.03,82.4,78,40,13.87,scattered clouds
94,Viedma,AR,-40.81,-63.0,86.0,18,0,5.99,clear sky
95,Novyye Burasy,RU,52.13,46.07,44.01,82,91,4.0,overcast clouds
96,Oyonnax,FR,46.26,5.66,61.0,87,75,1.12,broken clouds
97,Kavaratti,IN,10.57,72.64,82.06,71,0,4.5,clear sky
98,Itarema,BR,-2.92,-39.92,84.51,67,0,17.63,clear sky
99,Praia,CV,14.92,-23.51,80.6,57,40,9.17,scattered clouds
100,El Carmen De Bolivar,CO,9.72,-75.12,82.83,80,100,7.11,light rain
101,Maragogi,BR,-9.01,-35.22,80.1,74,79,13.15,broken clouds
102,Cockburn Town,TC,21.46,-71.14,86.0,62,75,13.87,broken clouds
103,Marzuq,YE,14.4,46.47,64.26,30,0,1.28,clear sky
104,Bandarbeyla,SO,9.49,50.81,77.54,77,0,20.8,clear sky
105,Ponta Delgada,PT,37.73,-25.67,69.8,94,75,13.87,broken clouds
106,Michigan City,US,41.71,-86.89,37.99,55,90,10.29,overcast clouds
107,Soubre,CI,5.79,-6.61,74.89,95,58,4.27,light rain
108,Polunochnoye,RU,60.87,60.42,23.67,97,0,3.67,clear sky
109,Coria,ES,39.99,-6.54,62.01,86,98,0.65,overcast clouds
110,Yarada,IN,17.65,83.27,78.8,88,1,2.24,mist
111,Acajutla,SV,13.59,-89.83,87.8,45,20,11.41,few clouds
112,Jamestown,US,42.1,-79.24,41.0,80,90,14.99,moderate rain
113,Ajdabiya,LY,30.76,20.23,70.09,59,0,13.38,clear sky
114,Bambous Virieux,MU,-20.34,57.76,69.8,64,20,9.17,few clouds
115,Yacuiba,BO,-22.04,-63.68,85.35,21,0,8.16,clear sky
116,Sommerda,DE,51.15,11.1,59.0,82,40,18.34,scattered clouds
117,Peniche,PT,39.36,-9.38,66.0,90,100,7.0,overcast clouds
118,Yangambi,CD,0.81,24.43,71.85,94,99,0.43,overcast clouds
119,Santa Pola,ES,38.19,-0.57,64.99,93,0,2.95,light rain
120,Praia Da Vitoria,PT,38.73,-27.07,64.99,100,75,21.32,broken clouds
121,Olafsvik,IS,64.89,-23.71,37.56,78,96,12.66,overcast clouds
122,Punta Arenas,CL,-53.15,-70.92,51.8,76,75,17.22,broken clouds
123,Tiznit,MA,29.58,-9.5,72.79,28,0,0.85,clear sky
124,Korla,CN,41.76,86.15,40.73,64,0,3.47,clear sky
125,Riviere-Au-Renard,CA,49.0,-64.4,44.6,56,75,8.05,broken clouds
126,Pucallpa,PE,-8.38,-74.55,87.8,52,40,10.29,scattered clouds
127,Daule,EC,-1.86,-79.98,87.8,52,40,8.05,scattered clouds
128,Coihaique,CL,-45.58,-72.07,78.8,21,0,8.05,clear sky
129,Ancud,CL,-41.87,-73.82,69.01,59,38,8.05,smoke
130,Maldonado,UY,-34.67,-54.92,66.99,77,20,12.75,few clouds
131,Los Llanos De Aridane,ES,28.66,-17.92,78.8,26,0,6.93,clear sky
132,Tasiilaq,GL,65.61,-37.64,28.4,79,99,3.36,overcast clouds
133,Cape Town,ZA,-33.93,18.42,66.99,72,0,11.41,clear sky
134,Souillac,MU,-20.52,57.52,69.8,64,20,9.17,few clouds
135,Ambatondrazaka,MG,-17.83,48.42,59.61,86,31,3.65,scattered clouds
136,Usakos,NA,-22.0,15.6,70.29,22,11,5.28,few clouds
137,Waren,DE,53.52,12.68,57.0,89,100,14.41,overcast clouds
138,Sayat,TM,38.78,63.88,50.0,39,0,6.93,clear sky
139,Leku,ET,6.87,38.45,59.22,88,66,3.2,light rain
140,Beloha,MG,-25.17,45.05,67.3,78,0,14.92,clear sky
141,Haverfordwest,GB,51.8,-4.97,63.0,100,100,42.5,light rain
142,Taoudenni,ML,22.68,-3.98,85.01,14,100,10.11,overcast clouds
143,Bonavista,CA,48.65,-53.11,41.0,52,0,11.41,clear sky
144,Chapais,CA,49.78,-74.85,32.0,100,90,12.75,light snow
145,Ndola,ZM,-12.96,28.64,70.74,47,36,6.08,scattered clouds
146,Vardo,NO,70.37,31.11,39.2,86,75,28.86,broken clouds
147,Arraial Do Cabo,BR,-22.97,-42.03,73.4,69,75,12.75,broken clouds
148,Corinto,GR,37.94,22.96,63.0,58,10,1.99,clear sky
149,Butterworth,MY,5.4,100.36,80.01,88,20,3.36,few clouds
150,The Valley,AI,18.22,-63.06,86.0,66,20,18.34,few clouds
151,Yevlax,AZ,40.61,47.15,57.2,93,0,4.7,clear sky
